
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,-0.000915527,0.00457764,-2.4305,0.0541551,-0.0756734,0.0519917,0.128038,-0.0937568,0.141961,-0.123935,-0.0871481,0.138397,0.0242233,0.025444,0.0106812,-0.0281906,-0.00537872,0.0177002,0.0463867,-9.97986,-0.143776,-0.00572205,0.110817,0.0143814,0.00133514,-0.00389099,-0.000495911,0.0769806
1,1,10.0097,-0.000305176,0.00152588,-2.43142,0.0523241,-0.0762837,0.0501607,0.0920275,-0.0977241,0.142877,-0.126072,-0.0871481,0.173798,0.0178146,0.0166321,0.00770569,-0.0437927,-0.0188446,0.0151825,0.0457382,-9.97986,-0.122833,-0.00610352,0.110664,0.0172806,0.00442505,-0.00415802,0.00225067,0.0560379
1,2,10.0097,-0.0012207,0.000610352,-2.42989,0.0544603,-0.0768941,0.0513814,0.0795153,-0.0974189,0.141961,-0.126987,-0.0889791,0.142326,0.00743866,0.00125885,0.00236511,-0.0489426,-0.0310516,0.0196457,0.0380325,-9.97986,-0.0674438,-0.00179291,0.102768,0.0148773,-0.00114441,-0.00671387,0.00476837,0.0339508
1,3,10.0097,0.0012207,0.000305176,-2.42898,0.0538499,-0.075063,0.0513814,0.0752428,-0.0952827,0.141961,-0.126377,-0.0865377,0.0989532,-0.00495911,-0.0056839,-0.000114441,-0.0321579,-0.025444,0.0188446,0.0399399,-9.97986,-0.0187683,0.000152588,0.0939178,0.016861,-0.000801086,-0.00606537,0.00888824,-0.0346756
1,4,10.0097,0,0.000305176,-2.42867,0.0544603,-0.0756734,0.0526021,0.072191,-0.0946723,0.143182,-0.126377,-0.085317,0.0846481,-0.0152969,-0.019989,-0.000419617,-0.00038147,-0.0244141,0.0203705,0.0389099,-9.97986,-0.00713348,0.00362396,0.0749588,0.0209045,0.00362396,-0.00411987,0.0147247,-0.0688934
1,5,10.0097,-0.000305176,0.000152588,-2.42653,0.0547655,-0.075063,0.0532125,0.0706652,-0.0931465,0.143487,-0.126682,-0.085317,0.0541687,-0.0181198,-0.0237274,-0.00274658,0.0601959,-0.0176239,0.0202942,0.047226,-9.97986,-0.0075531,-0.00232697,0.0494003,0.0173187,-0.00324249,-0.00411987,0.016861,-0.0662994
1,6,10.0097,0.000305176,-0.000152588,-2.42684,0.0547655,-0.0765889,0.0532125,0.0734117,-0.0943672,0.145318,-0.125766,-0.0831808,0.0640869,-0.0204086,-0.0275803,0.000305176,0.143433,0.000953674,0.0185776,0.0447845,-9.97986,0.00114441,-0.00301361,0.0069809,0.0200272,-0.00984192,-0.00518799,0.0280762,-0.0858307
1,7,10.0097,0.00274658,-0.000152588,-2.42562,0.0553758,-0.0741475,0.0535176,0.072191,-0.090705,0.147455,-0.125461,-0.0819601,0.0736618,-0.0191116,-0.0292206,-0.000152588,0.178566,0.0142288,0.0213623,0.0432205,-9.97986,0.0178146,-0.00595093,-0.0437927,0.0176239,-0.0131226,-0.00247955,0.0385284,-0.0602341
1,8,10.0097,0.000915527,0.000305176,-2.42531,0.0553758,-0.0738423,0.0550435,0.0718859,-0.0913154,0.14776,-0.125156,-0.0816549,0.0821304,-0.0133133,-0.0252151,0.000305176,0.172195,0.0215912,0.0141144,0.0365829,-9.97986,0.0352478,-0.00255585,-0.0592041,0.0136566,0.0030899,-0.00156403,0.0460052,-0.0101471
1,9,10.0097,-0.00152588,-0.000762939,-2.42562,0.0572069,-0.073232,0.0544332,0.0728014,-0.0916206,0.147455,-0.124241,-0.0816549,0.0806427,-0.0117493,-0.0218964,-0.00110626,0.128975,0.0285721,0.0216675,0.0264359,-9.97986,0.0652313,-0.00606537,-0.0563049,0.0169373,0.00881195,-0.00236511,0.0426865,0.0407791
2,0,10.0097,-0.000305176,-0.00213623,-2.42684,0.0569017,-0.0729268,0.0516866,0.0367906,-0.0946723,0.147455,-0.127598,-0.0819601,0.0979614,-0.013504,-0.0240707,-0.00358582,0.0525284,0.0229645,0.0196075,0.0285721,-9.97986,0.123482,-0.00370026,-0.0484848,0.0154877,0.00347137,-0.00457764,0.042038,0.0812912
2,1,2.08852,0.000915527,-0.00411987,-2.42562,0.0569017,-0.0738423,0.0535176,-0.0016615,-0.0989448,0.147149,-0.128818,-0.0825704,0.105362,-0.00770569,-0.0181198,0.00896454,-0.0218201,0.0255966,0.0206375,0.0290298,-9.97986,0.152245,-0.00087738,-0.0340271,0.0219345,0.00175476,0.00141144,0.0514984,0.0762939
2,2,-4.80327,0.00152588,-0.00488281,-2.42501,0.0565965,-0.0744527,0.0544332,-0.012953,-0.0965034,0.146844,-0.129123,-0.0816549,0.0834656,-0.0107574,-0.0175095,0.00598907,-0.0799179,0.0194931,0.0206757,0.0289536,-9.97986,0.125542,-0.00362396,-0.0130463,0.0180817,-0.00892639,-0.000991821,0.0483322,0.0585938
