
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,0.00213623,-0.000305176,-2.42592,0.0553758,-0.0747579,0.0547383,0.0593737,-0.0931465,0.144708,-0.125156,-0.0819601,0.00980377,0.0188065,0.0177002,0.0423813,-0.0174332,0.0469589,0.0540543,0.0481033,-9.97986,0.0260162,0.00156403,0.0252533,-0.50457,0.0540543,-0.00537872,0.018158,-0.00644684
1,1,10.0097,0.0012207,0.000762939,-2.42684,0.0544603,-0.0741475,0.0550435,0.0663927,-0.0934516,0.145624,-0.125156,-0.0825704,0.00919342,0.0234985,0.0214767,0.0396729,-0.0127792,0.0513077,0.0549316,0.0637436,-9.97986,0.0236893,0.0101471,0.0196075,-0.500526,0.0565338,-0.00534058,0.0190735,-0.0037384
1,2,10.0097,0.0012207,0.0012207,-2.42714,0.0538499,-0.0753682,0.054128,0.0743273,-0.0913154,0.144403,-0.126377,-0.0831808,0.00514984,0.028038,0.0239563,0.03582,-0.00900269,0.0669479,0.0561142,0.0759506,-9.97986,0.0244904,0.0211334,0.0222397,-0.494194,0.0584412,-0.00125885,0.0283051,-0.00492096
1,3,10.0097,0.000915527,0.00152588,-2.42837,0.0553758,-0.0744527,0.0547383,0.0911119,-0.090705,0.143792,-0.12363,-0.0837911,-0.00114441,0.0210953,0.0207901,0.0320053,-0.0150299,0.0743103,0.0513458,0.0696182,-9.97986,0.0175095,0.00827789,0.0132751,-0.496292,0.0579453,-0.0109863,0.0174713,-0.0108337
1,4,10.0097,0.00183105,0.00198364,-2.42867,0.0541551,-0.075063,0.0529073,0.075548,-0.0943672,0.142877,-0.126987,-0.0859274,0.00267029,0.0235367,0.0257111,0.0292587,-0.0088501,0.0957108,0.0600815,0.0678635,-9.97986,0.0210953,0.00896454,0.0193405,-0.484848,0.0670242,-0.0087738,0.0258255,-0.00171661
1,5,10.0097,-0.000915527,0.000457764,-2.42898,0.0535448,-0.0765889,0.0529073,0.0724962,-0.0949775,0.143792,-0.126987,-0.0862325,-0.00137329,0.0162506,0.0201416,0.0271225,-0.00785828,0.0876999,0.0552368,0.071907,-9.97986,0.0156021,-0.0056076,0.0154495,-0.491714,0.0639725,-0.0125885,0.0230789,-0.00576019
1,6,10.0097,-0.000915527,0.000610352,-2.42806,0.0544603,-0.0747579,0.0526021,0.07036,-0.0937568,0.144098,-0.126682,-0.0865377,0.00442505,0.0127029,0.0272369,0.028038,-0.0044632,0.0930786,0.0527573,0.0466156,-9.97986,0.00556946,-0.0152206,0.0094986,-0.492249,0.0707245,-0.0124359,0.021553,-0.00427246
1,7,10.0097,0.000610352,-0.00137329,-2.42989,0.0532396,-0.0771993,0.0519917,0.0679186,-0.0955879,0.143182,-0.128208,-0.0877584,0.00572205,0.0179291,0.0260544,0.0101089,-0.00320435,0.0864029,0.0540161,0.00236511,-9.97986,0.00480652,-0.0111389,0.0118256,-0.489464,0.0737,-0.013237,0.027771,-0.00335693
1,8,10.0097,0.000610352,-0.000610352,-2.42928,0.0538499,-0.0762837,0.0516866,0.0694445,-0.0955879,0.143182,-0.127292,-0.0877584,0.0114822,0.0150299,0.023613,0.00518799,0.000610352,0.0875473,0.0532913,0.0109482,-9.97986,0.00595093,-0.0146103,0.00926971,-0.492096,0.0737762,-0.0141525,0.0263214,-0.0037384
1,9,10.0097,0.000610352,-0.000305176,-2.42837,0.0535448,-0.075063,0.0529073,0.0697496,-0.0943672,0.143487,-0.126987,-0.0862325,0.0133133,0.0222015,0.030365,0.00404358,0.00629425,0.0818634,0.0559998,0.0241089,-9.97986,0.0082016,-0.00534058,0.0050354,-0.492706,0.0787735,-0.0168991,0.0289154,-0.00423431
