
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,8.62203,-0.00152588,0.000762939,-2.42806,0.0553758,-0.0756734,0.0544332,0.0862291,-0.0919257,0.145318,-0.125156,-0.0840963,0.00991821,0.015831,0.0139236,-0.0120544,0.0153732,0.0120544,0.0202179,0.0233078,-9.97986,0.00801086,-0.00141144,0.00804901,0.00530243,0.0144196,-0.0105667,0.0125504,0.00289917
1,1,10.0097,-0.000610352,0.00244141,-2.42867,0.0535448,-0.0762837,0.0550435,0.10454,-0.0916206,0.145318,-0.125156,-0.0850118,0.00858307,0.0186539,0.0208664,-0.0271988,0.0182343,0.0142288,0.0235748,0.0314331,-9.97986,0.00988007,0.00480652,0.0185776,0.00427246,0.0185394,-0.00434875,0.0159836,0.00640869
1,2,10.0097,0.0012207,0.000610352,-2.42867,0.0541551,-0.0759786,0.0513814,0.0804308,-0.0955879,0.143792,-0.128208,-0.0871481,0.00900269,0.0168991,0.0209427,-0.0536728,0.0175095,0.00793457,0.0191498,0.0279617,-9.97986,0.00694275,-0.00167847,0.0146103,0.0038147,0.0188065,-0.00549316,0.0169373,0.00862122
1,3,10.0097,0.000305176,-0.000152588,-2.42837,0.0535448,-0.075063,0.0529073,0.0743273,-0.0952827,0.143792,-0.127598,-0.0837911,0.00862122,0.0180817,0.0254822,-0.0283051,0.0192261,0.0127029,0.0260162,0.0291061,-9.97986,0.0122833,-7.62939e-005,0.012207,0.00659943,0.0240707,-0.00385284,0.021553,0.0114059
1,4,10.0097,-0.000610352,-0.000305176,-2.43142,0.0541551,-0.0756734,0.0519917,0.0712755,-0.0955879,0.144403,-0.126072,-0.0880636,0.00671387,0.0175095,0.0260544,-0.0167084,0.0117874,0.0108337,0.0238419,0.0152969,-9.97986,0.0127792,-0.00190735,0.0149536,0.00606537,0.0214767,-0.00453949,0.0164413,0.00686646
1,5,10.0097,0.000610352,-0.000610352,-2.42989,0.0538499,-0.0759786,0.0501607,0.0676134,-0.0949775,0.145318,-0.127598,-0.0859274,0.0104523,0.0195694,0.0223541,-0.0262833,0.0124741,0.0102615,0.0234985,0.0128937,-9.97986,0.0137711,0.00141144,0.0150681,0.00988007,0.0221252,-0.00167847,0.0164795,0.00900269
1,6,10.0097,-0.000610352,0.000305176,-2.42928,0.0550706,-0.0756734,0.0535176,0.0688341,-0.0949775,0.145318,-0.128208,-0.0847066,0.00843048,0.0234604,0.0212479,0.0536346,0.0140381,0.0127792,0.0231934,0.00831604,-9.97986,0.0177765,-0.00419617,0.0111771,0.00896454,0.018959,0.000953674,0.019989,0.00694275
1,7,10.0097,-0.000915527,-0.000457764,-2.4247,0.0550706,-0.0756734,0.0529073,0.0697496,-0.0937568,0.144708,-0.127292,-0.0862325,0.0141144,0.0271988,0.0117493,0.115013,0.014801,0.0125885,0.0235367,0.0044632,-9.97986,0.0131226,0.000457764,0.0196838,0.0101471,0.0193024,-0.00202179,0.0148773,0.00862122
1,8,10.0097,0.000610352,0,-2.42684,0.0553758,-0.0744527,0.0535176,0.0682238,-0.0937568,0.145013,-0.123325,-0.0850118,0.0143051,0.0281525,0.0208664,0.0677872,0.0210953,0.00804901,0.0224304,0.0156403,-9.97986,0.0150681,0.00038147,0.0172043,0.00846863,0.0194931,-0.000152588,0.0201035,0.00640869
1,9,10.0097,-0.000305176,-0.000152588,-2.42684,0.0547655,-0.0744527,0.0538228,0.0700548,-0.0928413,0.143792,-0.125766,-0.0825704,0.0117493,0.0213623,0.0183868,0.045166,0.01297,0.0121307,0.020752,0.0154114,-9.97986,0.017662,-0.00335693,0.0152206,0.00621796,0.019722,-0.00347137,0.0181198,0.00740051
2,0,10.0097,0.000305176,0.000152588,-2.42989,0.0547655,-0.0747579,0.0550435,0.0709703,-0.0928413,0.145929,-0.125156,-0.0834859,0.0136185,0.0244141,0.0194168,0.0682068,0.0202942,0.01091,0.025444,0.0218964,-9.97986,0.0132751,-0.00396729,0.0131607,0.00183105,0.0228119,-0.00350952,0.0149918,0.0108719
2,1,10.0097,0.00183105,0.000610352,-2.42562,0.0575121,-0.0738423,0.0553487,0.0697496,-0.0919257,0.146234,-0.123325,-0.0819601,0.00839233,0.0254822,0.0218582,0.0437546,0.0167084,0.0121689,0.0236893,0.0234222,-9.97986,0.016098,-0.000953674,0.0162125,0.00728607,0.020256,0.00358582,0.0165558,0.00793457
2,2,10.0097,-0.000915527,0.000152588,-2.4244,0.055681,-0.0735371,0.0550435,0.0697496,-0.0922309,0.146844,-0.123935,-0.0807394,0.0137711,0.0204849,0.0183868,-0.00358582,0.0165176,0.00804901,0.018425,0.0111389,-9.97986,0.0114441,-0.00328064,0.0165939,0.00282288,0.0228119,0.000762939,0.0152588,0.00564575
2,3,10.0097,0.00213623,0,-2.42776,0.0569017,-0.0753682,0.0574849,0.0715807,-0.0910102,0.145013,-0.12363,-0.0816549,0.0126266,0.0225067,0.0170517,0.011673,0.0169754,0.014534,0.0192642,0.00812531,-9.97986,0.00953674,-0.000419617,0.018425,0.00171661,0.0195313,0.00167847,0.0174332,0.00644684
2,4,10.0097,0.000610352,0.000457764,-2.42531,0.0565965,-0.0744527,0.055959,0.0700548,-0.0913154,0.147149,-0.123935,-0.0810445,0.0130463,0.0270081,0.0220108,0.0196075,0.0191116,0.00984192,0.0252533,0.00843048,-9.97986,0.0152969,0.000953674,0.0165558,0.00408173,0.0160599,0.000801086,0.0156021,0.00675201
2,5,10.0097,0.0012207,-0.000610352,-2.4247,0.0550706,-0.0744527,0.0532125,0.0471666,-0.0952827,0.145624,-0.126072,-0.0807394,0.0124359,0.0223541,0.0179672,-0.00347137,0.0194168,0.00938416,0.0205231,0.0120926,-9.97986,0.0160599,0.001297,0.0162125,0.0044632,0.0187302,-0.000610352,0.016098,0.00785828
