
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,-0.000305176,0,-2.42898,0.0550706,-0.0753682,0.050771,0.0718859,-0.0952827,0.144708,-0.126377,-0.0862325,0.0133133,0.02388,0.0190353,0.0139999,0.0167465,0.0111389,0.0271606,0.0245285,-9.97986,0.0179291,-0.00358582,0.0108719,0.00808716,0.0147247,-0.0038147,0.014267,0.00915527
1,1,10.0097,0.000915527,0,-2.42714,0.0541551,-0.075063,0.0532125,0.0712755,-0.0934516,0.144708,-0.126377,-0.0850118,0.0125122,0.0218201,0.0178528,0.0152969,0.0157547,0.0115967,0.0220871,0.0275803,-9.97986,0.0211334,-0.00270844,0.0149536,0.0075531,0.0205612,-0.00652313,0.0152969,0.00915527
1,2,10.0097,0.000610352,0.000152588,-2.42684,0.055681,-0.0762837,0.0526021,0.0709703,-0.0937568,0.145013,-0.126377,-0.0844015,0.0111771,0.0213623,0.0175858,0.0108337,0.0149536,0.00991821,0.0240707,0.028801,-9.97986,0.0239182,0.00102997,0.017128,0.00598907,0.0196075,-0.00595093,0.0154114,0.0115585
1,3,10.0097,-0.00152588,0.000610352,-2.42592,0.0550706,-0.0759786,0.0529073,0.0709703,-0.0943672,0.145318,-0.125461,-0.0834859,0.0138474,0.0200653,0.019722,0.0114059,0.0188446,0.010376,0.0244904,0.0274277,-9.97986,0.0247192,-0.00331879,0.0163269,-0.000991821,0.0211716,-0.00335693,0.0141907,0.0147247
1,4,10.0097,-0.000610352,0,-2.42531,0.0569017,-0.0738423,0.0547383,0.0709703,-0.0913154,0.145624,-0.124546,-0.0822652,0.0147629,0.0225067,0.0196075,0.0115967,0.0157928,0.00965118,0.0226974,0.0251007,-9.97986,0.0210953,7.62939e-005,0.0102615,0.00686646,0.0178909,-0.000648499,0.0131989,0.0106049
1,5,10.0097,0,0.000610352,-2.42653,0.0559862,-0.073232,0.0544332,0.0718859,-0.0931465,0.146234,-0.124241,-0.0810445,0.00930786,0.0251007,0.0201416,0.0100708,0.0156021,0.0128555,0.0224686,0.0218964,-9.97986,0.0183868,-0.00492096,0.0132751,0.00537872,0.021553,-0.00499725,0.0139618,0.0131989
1,6,10.0097,0.000915527,0.000762939,-2.4244,0.0565965,-0.073232,0.0550435,0.0706652,-0.0910102,0.146539,-0.124241,-0.0810445,0.00976563,0.021553,0.0216293,0.00911713,0.0160217,0.0162888,0.019722,0.0174713,-9.97986,0.0130463,-0.00278473,0.0133133,0.00740051,0.0168228,-0.00354767,0.0137329,0.0107956
1,7,10.0097,-0.000305176,-0.00167847,-2.42745,0.0562914,-0.0759786,0.0504659,0.0175646,-0.0980293,0.144708,-0.127598,-0.0831808,0.0109482,0.0241089,0.0201416,0.0138092,0.0180435,0.0101089,0.0218582,0.0126648,-9.97986,0.00915527,0.000343323,0.0153351,0.00751495,0.0144577,-0.00370026,0.0117493,0.00679016
1,8,0.948687,0.000305176,-0.00442505,-2.42684,0.0575121,-0.0735371,0.0526021,-0.00257703,-0.0971137,0.146234,-0.129429,-0.0813497,0.00888824,0.0177383,0.0173187,0.014534,0.014534,0.0128937,0.0209427,0.0104523,-9.97986,0.0154495,-0.0019455,0.0119019,0.00736237,0.0170135,-0.00518799,0.0143814,0.00305176
1,9,-6.21318,0.000305176,-0.00396729,-2.42592,0.0569017,-0.0741475,0.0535176,-0.0144789,-0.095893,0.146539,-0.129734,-0.0819601,0.00682831,0.0208664,0.0182724,0.0069046,0.0119019,0.0104904,0.0246048,0.00530243,-9.97986,0.00797272,-0.00347137,0.0144958,0.00858307,0.0131607,-0.00576019,0.0149155,0.00564575
2,0,-9.99003,0.000610352,-0.00366211,-2.42501,0.055681,-0.0738423,0.0553487,0.0108507,-0.0934516,0.147455,-0.128513,-0.0810445,0.0094986,0.0208282,0.0184631,0.0108719,0.0185013,0.0128937,0.02285,0.0114822,-9.97986,0.0050354,-0.00476837,0.0110626,0.00328064,0.0141144,-0.00679016,0.0137329,0.00450134
2,1,-9.99003,0.000305176,-0.00152588,-2.42501,0.0559862,-0.0735371,0.0565694,0.0398424,-0.0913154,0.145318,-0.126682,-0.0816549,0.00724792,0.0254059,0.0165939,0.0109482,0.015831,0.0131607,0.0201416,0.0149536,-9.97986,0.0119781,-0.00499725,0.0132751,0.00789642,-0.00637054,-0.00255585,0.0152206,0.0050354
