
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,10.0097,-0.000305176,0.000457764,-2.42806,0.0541551,-0.0759786,0.0535176,0.0728014,-0.0928413,0.144708,-0.126072,-0.0850118,0.00198364,0.018158,0.0201797,0.00728607,0.0179672,0.0101471,0.00782013,0.0235367,-9.97986,0.00858307,0.000419617,0.0199127,0.00118256,0.0139999,0.00526428,0.01194,0.00274658
1,1,10.0097,0.000305176,-0.000457764,-2.42776,0.0550706,-0.0741475,0.0510762,0.0743273,-0.0934516,0.145624,-0.126072,-0.0844015,0.00743866,0.0188446,0.0180435,0.0110245,0.0178909,0.0115585,0.00728607,0.0173187,-9.97986,-0.00473022,-0.00492096,0.0180817,0.00644684,0.0174713,0.00312805,0.0185394,0.00244141
1,2,10.0097,0,-0.000152588,-2.42592,0.0553758,-0.0747579,0.0544332,0.0712755,-0.0931465,0.144708,-0.124851,-0.0828756,0.031662,0.0187683,0.0168228,0.0100708,0.0136948,0.0110245,0.00434875,0.0155258,-9.97986,0.00782013,-0.00152588,0.0207138,0.00553131,0.0149918,-0.00274658,0.014267,0.00419617
1,3,10.0097,0.000915527,0.000915527,-2.42623,0.0553758,-0.0741475,0.0544332,0.07036,-0.0916206,0.146844,-0.123935,-0.0810445,0.0462723,0.0216293,0.0201797,0.0104523,0.0149918,0.0102615,0.000190735,0.0172043,-9.97986,0.0406265,-0.00663757,0.0183487,0.0122833,0.00732422,-0.00694275,0.0145721,-7.62939e-005
1,4,10.0097,-0.000610352,0.000305176,-2.42592,0.0569017,-0.0738423,0.0535176,0.07036,-0.0910102,0.147149,-0.123325,-0.0804342,0.0427246,0.0224686,0.0173569,0.00804901,0.0145721,0.00843048,0.000190735,0.0149918,-9.97986,0.0509262,-0.0088501,0.0143814,0.0111771,0.00652313,-0.0050354,0.0117111,0.00240326
1,5,10.0097,0.000915527,-0.000610352,-2.42714,0.055681,-0.0738423,0.0519917,0.042589,-0.0952827,0.145624,-0.126682,-0.0828756,0.044899,0.0229645,0.0228119,0.0127029,0.0180054,0.0128937,0,0.0120163,-9.97986,0.0357056,-0.00160217,0.0194168,0.0115204,0.0114441,-0.0063324,0.0115204,0.000228882
1,6,7.03816,-0.000305176,-0.00183105,-2.42592,0.0559862,-0.0747579,0.0519917,-0.00227185,-0.0998603,0.145929,-0.129734,-0.0825704,0.0368118,0.0251389,0.0230789,0.0137711,0.0178528,0.0102234,-0.0106049,0.0111771,-9.97986,0.00579834,-0.00110626,0.0157547,0.0151443,0.0110245,-0.0126266,0.014801,0.00431061
1,7,-1.7512,0.000610352,-0.00320435,-2.42684,0.0565965,-0.0747579,0.0538228,-0.0190565,-0.0961982,0.146539,-0.129734,-0.0819601,0.0141907,0.025177,0.0248718,0.0108719,0.0136948,0.00766754,-0.0037384,0.0103378,-9.97986,-0.00358582,-0.00164032,0.0196075,0.021553,0.0125122,-0.0063324,0.0151062,0.00549316
1,8,-9.72819,0.00183105,-0.00442505,-2.42531,0.0559862,-0.0729268,0.0538228,-0.0205824,-0.0971137,0.146539,-0.130649,-0.0822652,-0.00556946,0.0250626,0.0277328,0.00450134,0.0229645,0.00972748,-0.00770569,0.00812531,-9.97986,-0.00640869,7.62939e-005,0.0201416,0.0286484,0.0122452,-0.0075531,0.0127792,0.00648499
1,9,-9.99003,0.00152588,-0.00289917,-2.4247,0.055681,-0.0738423,0.0568746,0.0258043,-0.0910102,0.145624,-0.126682,-0.0798238,-0.0193405,0.0279617,0.0231171,0.00946045,0.0204849,0.00782013,-0.00461578,0.014267,-9.97986,-0.00671387,-0.00267029,0.0188446,0.0340271,-0.0134659,-0.0130463,0.0140381,0.00617981
2,0,-9.99003,0.0012207,0,-2.42501,0.0562914,-0.0744527,0.0553487,0.0505236,-0.0885688,0.146234,-0.126072,-0.0807394,-0.0308609,0.0216293,0.0209045,0.011673,0.0146484,0.00530243,-0.00770569,0.00919342,-9.97986,0.00202179,0.00038147,0.018425,0.0362396,-0.0120926,-0.0161743,0.0174332,0.00694275
2,1,-9.99003,0.000305176,0.000762939,-2.42745,0.055681,-0.0744527,0.0553487,0.0615099,-0.0925361,0.145929,-0.125766,-0.0819601,-0.0359344,0.021553,0.0239563,0.00919342,0.0173569,0.00255585,-0.00938416,0.010643,-9.97986,0.00675201,-0.00167847,0.0204468,0.0421524,-0.014534,-0.0162888,0.0153732,0.00701904
2,2,-9.99003,-0.000915527,0.000305176,-2.42531,0.0569017,-0.0756734,0.0547383,0.0746324,-0.090705,0.145318,-0.125461,-0.0831808,-0.0230026,0.0280762,0.0223541,0.0120163,0.0225067,0.00919342,-0.0188828,0.0133896,-9.97986,0.0133133,-0.00228882,0.0194931,0.039444,-0.0183487,-0.0149918,0.0158691,0.0108719
2,3,-8.43913,0,0.00350952,-2.42562,0.0559862,-0.075063,0.0562642,0.138109,-0.0846015,0.145929,-0.121189,-0.0831808,-0.017395,0.0201416,0.0218201,0.00862122,0.0211716,0.00778198,-0.00545502,0.0101852,-9.97986,0.0106812,-0.00465393,0.0144958,0.0424957,0.00232697,-0.0154114,0.015564,0.00812531
2,4,-0.790205,0.000915527,0.00442505,-2.42714,0.0544603,-0.0753682,0.0553487,0.152757,-0.0885688,0.144708,-0.122104,-0.0840963,-0.0178909,0.0196838,0.0185013,0.00946045,0.0138474,0.00576019,0.00236511,0.0111008,-9.97986,-0.00663757,-0.00331879,0.0140762,0.0465775,0.000190735,-0.0161362,0.0123596,0.00705719
2,5,7.15444,0.000915527,0.00473022,-2.42806,0.0569017,-0.0759786,0.0538228,0.154894,-0.0891792,0.143182,-0.121799,-0.0856222,-0.0025177,0.0241852,0.023613,0.0108719,0.0200272,0.0104523,0.0185394,0.0157166,-9.97986,-0.0102997,0.000839233,0.0188446,0.0471115,0.00816345,-0.0115585,0.0178528,0.00720978
2,6,10.0097,0.00183105,0.0038147,-2.43142,0.0535448,-0.0771993,0.0501607,0.126207,-0.0971137,0.141046,-0.124241,-0.0880636,0.0189209,0.0228882,0.0188446,0.0104141,0.019455,0.00644684,0.0275421,0.0117493,-9.97986,-0.00896454,-0.00598907,0.0125504,0.0511932,0.00637054,-0.00732422,0.0155258,0.00511169
2,7,10.0097,-0.000915527,0.00152588,-2.43111,0.0538499,-0.0765889,0.0495503,0.0911119,-0.0971137,0.143792,-0.126682,-0.0880636,0.0414658,0.0262451,0.0207138,0.0114059,0.0160599,0.0122452,0.0305176,0.0139618,-9.97986,-0.00659943,-0.00247955,0.015564,0.0455475,0.00957489,-0.0139999,0.0124741,0.00476837
2,8,10.0097,-0.000915527,0.000305176,-2.43111,0.0538499,-0.075063,0.0504659,0.0782946,-0.095893,0.143487,-0.126682,-0.0874532,0.0434875,0.0224304,0.0183105,0.00835419,0.0171661,0.00911713,0.0427246,0.0125504,-9.97986,0.000343323,-0.00583649,0.0130844,0.0475311,0.0108719,-0.0102997,0.0180054,0.00106812
2,9,10.0097,0,-0.000152588,-2.42806,0.0547655,-0.0753682,0.0513814,0.075548,-0.095893,0.144098,-0.126072,-0.085317,0.0383759,0.0195694,0.0144196,0.00965118,0.015564,0.0103378,0.0404358,0.0155258,-9.97986,0.00293732,-0.00225067,0.0141525,0.047226,0.0133133,-0.0044632,0.0163651,0.00164032
3,0,10.0097,0.000915527,0.000457764,-2.42623,0.0544603,-0.0744527,0.0538228,0.0715807,-0.0937568,0.143487,-0.125766,-0.085317,0.0306702,0.0206757,0.0149155,0.0062561,0.0127029,0.00926971,0.0432205,0.0172806,-9.97986,0.0185394,0.00217438,0.0157166,0.0500488,0.0118256,0.000457764,0.0166321,0.00236511
3,1,10.0097,-0.000305176,0.000152588,-2.42776,0.055681,-0.0744527,0.0529073,0.0712755,-0.0946723,0.143792,-0.125766,-0.0837911,0.0133514,0.0214386,0.0157547,0.00740051,0.0153732,0.0183105,0.0445938,0.0195313,-9.97986,0.037117,0.00232697,0.0120926,0.0476074,0.0102234,0.0101852,0.0175858,0.00305176
3,2,10.0097,0.000915527,0.000305176,-2.42684,0.0547655,-0.075063,0.0529073,0.0712755,-0.0934516,0.147149,-0.125156,-0.0834859,0.00556946,0.018158,0.0149918,0.00640869,0.0142288,0.0128555,0.0461578,0.0193024,-9.97986,0.0587463,0.00190735,0.0116348,0.0516891,0.00892639,0.0125885,0.0209427,0.00324249
3,3,10.0097,-0.00152588,0.000457764,-2.42562,0.0559862,-0.0741475,0.0538228,0.0731066,-0.0900947,0.147149,-0.123935,-0.0807394,0.0188446,0.0175476,0.0154495,0.00831604,0.00926971,0.0159836,0.0551987,0.0239944,-9.97986,0.0637817,0.00244141,0.0123215,0.051384,0.0112152,0.00720978,0.0199127,0.00160217
3,4,10.0097,0.000915527,-0.000305176,-2.42562,0.0578172,-0.0723164,0.0556539,0.072191,-0.0916206,0.146234,-0.124546,-0.0813497,0.0125504,0.0192642,0.0107574,0.00823975,0.0159836,0.010643,0.0448608,0.0230408,-9.97986,0.0421143,-0.00133514,0.0131989,0.0532913,0.016861,0.0201035,0.0219727,0.00038147
3,5,10.0097,-0.000610352,-0.000610352,-2.42684,0.0544603,-0.0747579,0.0529073,0.0435045,-0.0965034,0.145929,-0.126987,-0.0831808,0.00854492,0.0205994,0.0159454,0.0107956,0.0188065,0.0094223,0.0305557,0.0168228,-9.97986,0.0278473,0.000953674,0.0139236,0.0544357,0.0133514,0.0278473,0.0194931,0.00419617
3,6,7.02901,0,-0.00289917,-2.42776,0.055681,-0.0744527,0.0519917,-0.00227185,-0.09925,0.145318,-0.130039,-0.0834859,0.00720978,0.0221252,0.0136566,0.00541687,0.0178528,0.0110626,0.026207,0.0238419,-9.97986,0.0269318,0.00213623,0.0154114,0.0521088,0.0115585,0.0284576,0.0228119,0.0075531
3,7,-1.78905,-0.000915527,-0.00366211,-2.42562,0.0584276,-0.0741475,0.0538228,-0.0138685,-0.0980293,0.145624,-0.130344,-0.0813497,0.0038147,0.0218964,0.0185394,0.00968933,0.0166321,0.00740051,0.0215912,0.0208282,-9.97986,0.0284576,0.00190735,0.0193405,0.0479507,0.00957489,0.0317764,0.0191879,0.00717163
3,8,-9.70103,0.00152588,-0.00411987,-2.42501,0.0559862,-0.0738423,0.054128,-0.0196669,-0.0961982,0.145624,-0.130649,-0.0816549,-0.00392914,0.0225067,0.0191498,0.0135422,0.0198364,0.00961304,0.022316,0.0156021,-9.97986,0.0263214,-0.00289917,0.0190353,0.045166,0.00823975,0.025444,0.0228119,0.01297
