
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,9.49483,0.000305176,0.00137329,-2.42806,0.0550706,-0.0717061,0.0538228,0.0874498,-0.0903999,0.145013,-0.125461,-0.0847066,0.0102234,0.0283813,0.018425,0.0149155,0.0164413,0.0302887,0.0270844,0.0202179,-9.97986,0.0140381,-0.00221252,0.0208282,0.0106049,0.0165939,0.00648499,-0.00156403,0.00671387
1,1,10.0097,0.000610352,0.00198364,-2.42928,0.0538499,-0.0759786,0.0529073,0.0938585,-0.0931465,0.144098,-0.126377,-0.0859274,0.00999451,0.0254059,0.0198364,0.01091,0.0174713,0.031929,0.0232315,0.0198364,-9.97986,0.0153351,0.000610352,0.021019,0.0128937,0.0190735,0.00148773,-0.00156403,0.00709534
1,2,10.0097,-0.00183105,0,-2.42989,0.0575121,-0.0756734,0.0513814,0.0779894,-0.0961982,0.143487,-0.126072,-0.0871481,0.0101471,0.0226593,0.0168228,0.0134277,0.0155258,0.0348663,0.0140762,0.0200272,-9.97986,0.0193024,-0.00183105,0.0192642,0.013237,0.0142288,-0.00400543,-0.00419617,0.00488281
1,3,10.0097,0.000915527,0.000305176,-2.42928,0.0538499,-0.0787251,0.050771,0.0718859,-0.0946723,0.144403,-0.126377,-0.0865377,0.0116348,0.0235748,0.0188065,0.0133514,0.0178909,0.0321198,0.0174713,0.0208664,-9.97986,0.0125885,-0.00236511,0.0224304,0.0120544,0.0170135,0.0043869,-0.00148773,0.00888824
1,4,10.0097,0.000610352,-0.000305176,-2.42928,0.0535448,-0.0771993,0.0526021,0.0700548,-0.0937568,0.145929,-0.127903,-0.0883688,0.0146103,0.0219727,0.018692,0.00957489,0.0183105,0.031662,0.0155258,0.0177383,-9.97986,0.0143051,-0.00385284,0.0159454,0.0185776,0.0185013,0.00160217,0.000343323,0.00682831
1,5,10.0097,0.000305176,0.000305176,-2.42867,0.0553758,-0.0756734,0.0516866,0.0697496,-0.0955879,0.142877,-0.127598,-0.0868429,0.0087738,0.0212097,0.0193024,0.0108719,0.00797272,0.0321198,0.0169754,0.0206757,-9.97986,0.0153732,-0.0025177,0.0193787,0.0151825,0.0177383,0.00419617,0.00408173,0.0056839
1,6,10.0097,0,-0.000152588,-2.42745,0.0547655,-0.0744527,0.0535176,0.0694445,-0.0952827,0.143792,-0.127292,-0.0859274,0.0125122,0.0236893,0.0203705,0.0141907,0.0165939,0.0336075,0.014801,0.0180054,-9.97986,0.01297,-0.00278473,0.0198364,0.0143051,0.0205612,0.00850677,-0.000228882,0.00572205
1,7,10.0097,0.000305176,-0.000457764,-2.42806,0.0538499,-0.0744527,0.0532125,0.0697496,-0.0928413,0.149896,-0.125766,-0.0844015,0.0111389,0.0203323,0.0148392,0.0168228,0.0123978,0.0375748,0.0131607,0.0210571,-9.97986,0.0169373,-0.0018692,0.0230026,0.0185394,0.0136185,0.00659943,-0.00221252,0.00583649
1,8,10.0097,0.000610352,0.00106812,-2.42806,0.0596483,-0.0753682,0.0532125,0.0685289,-0.0937568,0.144403,-0.125766,-0.0862325,0.0120163,0.0246429,0.0168228,0.0087738,0.0121307,0.03685,0.0149918,0.0178146,-9.97986,0.0128174,-0.00289917,0.0222778,0.0131607,0.0183868,7.62939e-005,0.000228882,0.00526428
1,9,10.0097,-0.000305176,0,-2.42653,0.0553758,-0.0735371,0.0538228,0.0685289,-0.0910102,0.145013,-0.126377,-0.0837911,0.0120163,0.0196075,0.0217819,0.00762939,0.0187683,0.034256,0.0138855,0.0224686,-9.97986,0.0141907,0.000686646,0.0226974,0.00831604,0.0191879,-0.00492096,-0.00221252,0.00682831
2,0,10.0097,0.0012207,0,-2.42623,0.0559862,-0.0738423,0.054128,0.0706652,-0.0919257,0.146234,-0.125461,-0.0825704,0.0132751,0.0245285,0.0172424,0.0123596,0.0152969,0.0363159,0.0107574,0.0199509,-9.97986,0.0104141,0.001297,0.0232697,0.0082016,0.0210571,-0.00453949,-0.000991821,0.00751495
2,1,10.0097,-0.000305176,0.000610352,-2.42531,0.0575121,-0.0741475,0.0562642,0.072191,-0.0916206,0.145624,-0.124851,-0.0819601,0.0127792,0.0220108,0.0178146,0.00392914,0.00827789,0.0310898,0.0149536,0.0150299,-9.97986,0.0118637,-0.00549316,0.0197983,0.00431061,0.015564,-0.0147629,-0.00114441,0.00370026
2,2,10.0097,0,0.000457764,-2.4247,0.0565965,-0.0726216,0.0550435,0.0694445,-0.090705,0.145929,-0.124241,-0.0822652,0.0101471,0.0230408,0.0236511,0.0119019,0.0112534,0.0358963,0.0187302,0.0225067,-9.97986,0.0154877,-0.00324249,0.0221634,0.00553131,0.0158691,-0.0177002,0.000228882,0.00778198
2,3,10.0097,0.00152588,-0.000457764,-2.42562,0.055681,-0.0738423,0.0550435,0.0712755,-0.0913154,0.146539,-0.123935,-0.0804342,0.0108719,0.0195313,0.0197983,0.00938416,0.00911713,0.0355911,0.022049,0.0181961,-9.97986,0.0141144,0.000648499,0.017395,0.00553131,0.0160599,-0.0201035,-0.00286102,0.00362396
2,4,10.0097,0.000610352,0.000762939,-2.4247,0.060869,-0.073232,0.0550435,0.07036,-0.0903999,0.147149,-0.124241,-0.0807394,0.0122833,0.023613,0.0181198,0.000419617,0.0112152,0.0363922,0.0230789,0.0172043,-9.97986,0.0140381,-0.000343323,0.0226974,0.00263214,0.0151825,-0.0212097,-0.0056076,0.00362396
2,5,10.0097,-0.000305176,-0.000457764,-2.42745,0.0559862,-0.0714009,0.0526021,0.0502184,-0.0946723,0.145013,-0.126377,-0.0834859,0.00804901,0.0247574,0.0218201,0.00541687,0.00988007,0.0361252,0.0196838,0.0167465,-9.97986,0.0130463,-0.000495911,0.0209808,0.00400543,0.0149918,-0.0188828,-0.0025177,0.0075531
2,6,9.12129,0.000610352,-0.00167847,-2.42623,0.0559862,-0.073232,0.0550435,0.0456407,-0.0946723,0.141046,-0.126072,-0.0810445,0.00911713,0.021286,0.0176239,0.00553131,0.0138855,0.0343704,0.00663757,0.0162506,-9.97986,0.0115585,-0.00751495,0.0198746,0.00614166,0.0169373,-0.0243378,-0.00831604,0.00457764
2,7,7.98268,0.000610352,0,-2.4247,0.0544603,-0.075063,0.0547383,0.054796,-0.0928413,0.146234,-0.125461,-0.0819601,0.0106049,0.0186157,0.0165939,0.000228882,0.0123978,0.0363159,0.000305176,0.0196838,-9.97986,0.0172043,-0.00286102,0.0237656,0.000610352,0.0164032,-0.0285721,-0.00598907,0.00587463
2,8,7.683,0,0.000152588,-2.42562,0.0553758,-0.0753682,0.054128,0.0633409,-0.0910102,0.145624,-0.125766,-0.0834859,0.0128174,0.0217056,0.0210571,0.000724792,0.0132751,0.0407791,-0.00938416,0.0147247,-9.97986,0.0149536,-0.000762939,0.0210953,-0.000953674,0.0133133,-0.0325775,-0.00629425,0.000801086
2,9,7.8893,0.000610352,0.000305176,-2.42623,0.0553758,-0.0756734,0.054128,0.07036,-0.0916206,0.146539,-0.125766,-0.0834859,0.0120163,0.0220108,0.0208664,0.0175476,0.0146484,0.0394821,-0.00442505,0.0173569,-9.97986,0.0134659,-0.00202179,0.0162888,-0.00476837,0.0147629,-0.0356293,-0.00350952,0.00331879
3,0,9.45912,0.000305176,0.0012207,-2.42653,0.0541551,-0.0738423,0.054128,0.087755,-0.0897895,0.145929,-0.125461,-0.0834859,0.0113678,0.025177,0.0228119,0.0178146,0.013504,0.0366211,-0.0025177,0.0196457,-9.97986,0.0130844,0.000991821,0.0213242,-0.0056076,0.0147629,-0.0392151,-0.00740051,0.0056839
3,1,10.0097,0.000305176,0.0012207,-2.42898,0.0538499,-0.0756734,0.0522969,0.0959947,-0.0922309,0.144098,-0.125461,-0.0847066,0.0133514,0.0211334,0.0170898,0.0173569,0.00839233,0.0331879,0.00175476,0.0191116,-9.97986,0.0151825,-7.62939e-005,0.0207901,-0.00579834,0.0143433,-0.0313568,0.000495911,0.00450134
3,2,10.0097,-0.000305176,0.000152588,-2.42898,0.0535448,-0.0765889,0.0526021,0.0776842,-0.0949775,0.143182,-0.127598,-0.0862325,0.0132751,0.0179672,0.0182343,0.0125504,0.00659943,0.0379181,0.00637054,0.0162125,-9.97986,0.0153732,-0.00141144,0.0187683,-0.00389099,0.0141907,-0.0230789,-0.00320435,0.00389099
3,3,10.0097,-0.00305176,0,-2.42898,0.0547655,-0.0765889,0.0522969,0.0724962,-0.0946723,0.143792,-0.126072,-0.0868429,0.015831,0.0224686,0.0176239,0.00427246,0.00926971,0.0340652,0.0107956,0.0137711,-9.97986,0.0133514,-0.00411987,0.0181961,-0.00556946,0.0167084,-0.0124741,0.000534058,0.0030899
3,4,10.0097,0.000305176,-0.000305176,-2.42867,0.0532396,-0.0762837,0.050771,0.0700548,-0.0961982,0.142877,-0.127292,-0.0874532,0.0123978,0.0243378,0.0177383,0.0030899,0.00988007,0.037384,0.00843048,0.0200272,-9.97986,0.0155258,-0.00305176,0.0185776,-0.00911713,0.0127792,-0.00648499,0.000457764,0.00259399
3,5,10.0097,0.000610352,-0.000457764,-2.42837,0.0526292,-0.0762837,0.0513814,0.0700548,-0.0943672,0.140436,-0.127598,-0.0868429,0.0125504,0.0197601,0.0186539,-0.00774384,0.00873566,0.0318527,0.0178909,0.015564,-9.97986,0.0156403,0.000534058,0.0227356,-0.00244141,0.0163269,0.00110626,0.00411987,0.000419617
3,6,10.0097,-0.000305176,-0.000305176,-2.42867,0.0535448,-0.0756734,0.0535176,0.0691393,-0.0955879,0.144403,-0.126377,-0.0859274,0.0132751,0.0268555,0.0133896,-0.0112152,0.0113297,0.0281525,0.0279999,0.0190353,-9.97986,0.0141525,0.00141144,0.0175858,-0.00377655,0.0157166,0.000457764,0.00164032,0.00240326
3,7,10.0097,0.0012207,0.000305176,-2.42745,0.0547655,-0.0765889,0.0522969,0.0697496,-0.094062,0.143792,-0.126682,-0.0850118,0.00907898,0.0207901,0.0156784,-0.0156403,0.00907898,0.0294876,0.0382614,0.017395,-9.97986,0.0107956,-0.00164032,0.0200653,0.00362396,0.0167084,0.00148773,0.00198364,0.00198364
3,8,10.0097,0.0012207,0.000610352,-2.42653,0.0547655,-0.0756734,0.0529073,0.0688341,-0.0931465,0.143792,-0.126377,-0.0850118,0.0149155,0.0231552,0.0213623,-0.0257111,0.00907898,0.0308609,0.0378418,0.0167847,-9.97986,0.0122452,-0.00434875,0.0236893,0.00736237,0.0179291,0.00335693,-0.00141144,0.00453949
3,9,10.0097,-0.00213623,-0.000152588,-2.42837,0.0553758,-0.0741475,0.0538228,0.0697496,-0.0934516,0.145624,-0.125461,-0.0844015,0.0101471,0.0198746,0.0169754,-0.0381851,0.00595093,0.028801,0.0376129,0.0207138,-9.97986,0.0141144,-0.000534058,0.0214767,0.00293732,0.0217056,0.00400543,-0.00167847,0.00507355
4,0,10.0097,0.000305176,0.000610352,-2.42592,0.0550706,-0.0756734,0.0553487,0.0694445,-0.0931465,0.145013,-0.125461,-0.0831808,0.0109863,0.0235367,0.0168228,-0.0507736,0.00659943,0.0264359,0.034256,0.0227356,-9.97986,0.014267,-0.000534058,0.0254059,0.00236511,0.0171661,0.00389099,-0.000114441,0.0044632
4,1,10.0097,0.00274658,-0.000305176,-2.42592,0.0562914,-0.0744527,0.0550435,0.0718859,-0.0916206,0.14776,-0.124851,-0.0822652,0.0114441,0.0262833,0.0186157,-0.0614166,0.00766754,0.0258636,0.0323105,0.0213242,-9.97986,0.0184631,-0.000495911,0.025444,0.00522614,0.0230789,0.00362396,0.0037384,0.00667572
4,2,10.0097,0.000305176,0.000457764,-2.4247,0.0565965,-0.0741475,0.0544332,0.0706652,-0.0910102,0.146234,-0.124546,-0.0813497,0.0101471,0.0221634,0.0181198,-0.0572968,0.000953674,0.0271606,0.0246429,0.0229263,-9.97986,0.0125885,-0.00247955,0.0217438,0.00209808,0.024147,0.00896454,0.00694275,0.00400543
4,3,10.0097,-0.0012207,-0.000762939,-2.4247,0.0559862,-0.0747579,0.0544332,0.0712755,-0.0931465,0.146234,-0.12363,-0.0810445,0.0094223,0.0242233,0.0221252,-0.0139999,0.00778198,0.0227737,0.0221252,0.0199127,-9.97986,0.0135422,-0.00247955,0.0193787,0.001297,0.0209808,0.00888824,0.00556946,0.00377655
4,4,10.0097,0.000915527,0,-2.42501,0.0575121,-0.0729268,0.0553487,0.0712755,-0.0922309,0.145624,-0.124241,-0.0804342,0.0161362,0.019722,0.0226593,0.0361633,0.00762939,0.027771,0.0109482,0.0218964,-9.97986,0.00862122,-0.000839233,0.0239944,0.00259399,0.0250626,0.0112915,0.0131989,0.0050354
4,5,10.0097,0.00213623,-0.00183105,-2.42623,0.0562914,-0.0744527,0.0538228,0.0517443,-0.0937568,0.145624,-0.125156,-0.0822652,0.0137711,0.0231934,0.0195313,0.0483704,0.0120163,0.0218964,0.0063324,0.0188828,-9.97986,0.0175476,0,0.02491,0.00476837,0.0205612,0.0107193,0.0106049,0.00671387
4,6,9.23665,0.000610352,-0.00198364,-2.42501,0.0559862,-0.0735371,0.0544332,0.0462511,-0.094062,0.14776,-0.125156,-0.0813497,0.0135422,0.0263214,0.022583,0.0426865,0.0148773,0.0200272,0.0181961,0.0175858,-9.97986,0.0128937,0.00221252,0.0209045,0.00465393,0.0234985,0.00724792,0.01194,0.00682831
4,7,8.09743,0.000610352,-0.000610352,-2.42592,0.0562914,-0.075063,0.0544332,0.0535753,-0.094062,0.145929,-0.125461,-0.0822652,0.00965118,0.0226212,0.0231552,0.0242996,0.012207,0.0180435,0.0134277,0.0170517,-9.97986,0.014267,-0.00518799,0.0257874,0.00873566,0.0221252,0.00423431,0.010376,0.00522614
4,8,7.82521,-0.000915527,0.000152588,-2.42592,0.0559862,-0.0741475,0.0547383,0.0642565,-0.0928413,0.145929,-0.125766,-0.0819601,0.0111008,0.0257874,0.0257874,0.0082016,0.0163651,0.0210571,0.017128,0.020752,-9.97986,0.0138474,-0.00339508,0.0234604,0.0123596,0.0192261,0.00282288,0.0106049,0.00808716
4,9,8.04982,-0.000915527,0.000457764,-2.42684,0.055681,-0.0738423,0.0550435,0.0706652,-0.0922309,0.145624,-0.126072,-0.0831808,0.0123215,0.0262833,0.0184631,0.00881195,0.0110245,0.0157166,0.0116348,0.0151062,-9.97986,0.0111389,-0.00576019,0.0252151,0.0109482,0.0177765,0.00598907,0.00404358,0.00583649
5,0,9.62728,0.000610352,0.0012207,-2.42623,0.0541551,-0.0759786,0.054128,0.0889757,-0.0910102,0.146234,-0.124546,-0.0840963,0.0134659,0.0260925,0.0294495,0.0251007,0.0127792,0.0182724,0.0220108,0.0189972,-9.97986,0.0130081,7.62939e-005,0.0282669,0.0176239,0.0217819,0.000228882,0.00587463,0.00606537
5,1,10.0097,-0.000305176,0.00213623,-2.42867,0.0523241,-0.0759786,0.0522969,0.0938585,-0.0934516,0.143792,-0.125461,-0.0868429,0.0120163,0.0229263,0.0214767,0.0366592,0.0094223,0.0131989,0.0152206,0.0141907,-9.97986,0.0153351,0.000762939,0.0210571,0.0136948,0.0192261,-0.00350952,0.00545502,0.00587463
5,2,10.0097,0.000610352,0.000305176,-2.42989,0.0544603,-0.0759786,0.0526021,0.0782946,-0.0949775,0.143487,-0.126377,-0.0874532,0.0119781,0.0257874,0.0226974,0.0333786,0.0157166,0.0176239,0.0181961,0.0192261,-9.97986,0.0157928,-0.00106812,0.0228119,0.0141525,0.0215149,-0.000648499,0.00648499,0.00934601
5,3,10.0097,0.00183105,0.000305176,-2.42837,0.0532396,-0.0759786,0.0513814,0.0715807,-0.0931465,0.141961,-0.126377,-0.0865377,0.0108719,0.0260925,0.0204086,0.0144577,0.0143051,0.015564,0.0148773,0.0145721,-9.97986,0.0173187,0.00232697,0.0207901,0.0179672,0.0210953,-0.00339508,0.00595093,0.00736237
5,4,10.0097,0.000915527,-0.000457764,-2.42959,0.0541551,-0.0762837,0.0513814,0.0700548,-0.0949775,0.142877,-0.128818,-0.0883688,0.0101471,0.0244904,0.0189209,0.0108337,0.0115585,0.013504,0.01194,0.0207901,-9.97986,0.0139999,-0.00236511,0.0232697,0.0185013,0.0207901,-0.00911713,0.000991821,0.00907898
5,5,10.0097,0.000610352,0.000152588,-2.42837,0.0541551,-0.0747579,0.0522969,0.0694445,-0.0937568,0.143792,-0.126072,-0.0865377,0.00926971,0.0239563,0.0159454,0.0225449,0.0101852,0.0114441,0.0208282,0.0173187,-9.97986,0.0161362,-0.00469208,0.0203705,0.0213623,0.0191116,-0.0102234,0.000534058,0.00789642
5,6,10.0097,0.000915527,-0.000457764,-2.42867,0.0541551,-0.0753682,0.0519917,0.0706652,-0.094062,0.144708,-0.127292,-0.0859274,0.0139618,0.0271606,0.0167465,0.0209045,0.0138474,0.0108719,0.021286,0.0141907,-9.97986,0.0138092,-0.00152588,0.0151825,0.0235748,0.0209045,-0.0178909,7.62939e-005,0.00835419
5,7,10.0097,0.000610352,0.000610352,-2.42867,0.0544603,-0.075063,0.0522969,0.0694445,-0.0937568,0.144098,-0.126072,-0.0850118,0.0115585,0.0264359,0.00797272,0.0365829,0.0130081,0.00827789,0.0251007,0.017662,-9.97986,0.0178528,-0.00511169,0.0247955,0.0271606,0.0216675,-0.0143814,-0.000228882,0.00720978
5,8,10.0097,0.000610352,0.0012207,-2.42776,0.0547655,-0.0747579,0.0529073,0.0697496,-0.0937568,0.145318,-0.126072,-0.0837911,0.0137711,0.026741,0.00968933,0.0666046,0.0137711,0.0121307,0.0242615,0.0137329,-9.97986,0.0162888,-0.00171661,0.0183105,0.0325394,0.0215912,-0.00232697,-0.00331879,0.00793457
5,9,10.0097,-0.000610352,0.000610352,-2.42653,0.0553758,-0.0744527,0.0529073,0.0706652,-0.0943672,0.146234,-0.126987,-0.0834859,0.0167084,0.0250626,0.0122452,0.0712585,0.0148392,0.012207,0.0196838,0.0131226,-9.97986,0.0151062,-0.000495911,0.0153351,0.0323486,0.0237656,0.0112915,0.00339508,0.00598907
6,0,10.0097,0.000305176,0.000762939,-2.42684,0.055681,-0.0738423,0.0538228,0.07036,-0.0922309,0.146844,-0.126072,-0.0834859,0.0133896,0.0252151,0.00934601,0.0770187,0.00991821,0.00705719,0.016861,0.0110245,-9.97986,0.0167847,0.00038147,0.0219727,0.0323486,0.0253296,0.0259781,-0.00213623,0.00480652
6,1,10.0097,-0.000305176,0.000152588,-2.4247,0.0559862,-0.0738423,0.0538228,0.07036,-0.0910102,0.145318,-0.124241,-0.0825704,0.0165939,0.0260925,0.0172424,0.075531,0.0144577,0.0103378,0.0136566,0.0182343,-9.97986,0.017128,0.000839233,0.0219345,0.0354004,0.0230408,0.0388336,-0.000762939,0.0075531
