
Devices
1200
,,BP Load cell - Voltage,String Length - Voltage,Clutch Active - Voltage,#7 iPecs - Voltage,,,,,,,,,EMG 1-8 Left - Voltage,,,,,,,,Pylon Force - Voltage,EMG 9-16 Right - Voltage,,,,,,,,
Frame,Sub Frame,BP Load Cell,String Length,From Arduino Logic,A45,A135,A225,A315,S0,S90,S180,S270,ZSum,EMG 1 Glut Max,EMG 2 Glut Med,EMG 3 Biceps Femoris Long,EMG 4 Rectus Femoris,EMG 5 Vastus Medialis,EMG 6 Tib Ant,EMG 7 Med Gas,EMG 8 Soleus,Pylon volts,EMG 9 Glut Max,EMG 10 Glut Med,EMG 11 Biceps Femoris Long,EMG 12 Rectus Femoris,EMG 13 Vastus Medialis,EMG 14 Tib Ant,EMG 15 Med Gas,EMG 16 Soleus
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,5.56447,0.000610352,0.0038147,-2.42745,0.0532396,-0.075063,0.0538228,0.151232,-0.0903999,0.143792,-0.12241,-0.0859274,0.0105286,0.0288773,0.0108719,0.00839233,0.0204468,0.0104141,0.0189209,0.0171661,-9.97986,0.0149536,-0.00236511,0.0137329,0.00713348,0.0189972,0.00324249,0.0192261,0.00522614
1,1,10.0097,-0.000915527,0.00427246,-2.4305,0.0523241,-0.0771993,0.050771,0.136888,-0.0934516,0.143792,-0.122715,-0.0880636,0.0136566,0.0345993,0.00831604,0.0125504,0.0173187,0.00843048,0.0214005,0.0203323,-9.97986,0.0149536,-0.000152588,0.0131989,0.00263214,0.0157166,0.0031662,0.0186157,0.00301361
1,2,10.0097,0.00244141,0.00152588,-2.43111,0.0532396,-0.0756734,0.0498555,0.0938585,-0.0971137,0.142877,-0.126072,-0.0883688,0.0133514,0.0241089,0.00770569,0.0127029,0.0200653,0.0150299,0.0218201,0.0201416,-9.97986,0.0163651,0.000839233,0.0130463,0.00797272,0.0196457,0.00377655,0.0172043,0.00911713
1,3,10.0097,0.000305176,0.000305176,-2.42837,0.0529344,-0.0753682,0.0516866,0.0798204,-0.0965034,0.143792,-0.126072,-0.0880636,0.0117874,0.0217819,0.0137329,0.0138092,0.0136948,0.00747681,0.0235367,0.0131607,-9.97986,0.0143051,-0.00152588,0.0120163,0.00595093,0.0198746,0.00232697,0.0180054,0.00629425
1,4,10.0097,-0.000915527,0.000457764,-2.42806,0.0544603,-0.0768941,0.0526021,0.0737169,-0.0949775,0.143792,-0.125766,-0.0859274,0.00823975,0.0233841,0.0149155,0.0117874,0.0162125,0.0134277,0.0208282,0.0122833,-9.97986,0.017128,-0.000762939,0.0139999,0.00705719,0.0142288,-0.00659943,0.0177002,0.00389099
1,5,10.0097,-0.00152588,0.000152588,-2.42806,0.0541551,-0.0756734,0.0522969,0.0734117,-0.0937568,0.144708,-0.126377,-0.085317,0.0138092,0.0273895,0.0204086,0.0135803,0.0210953,0.0125885,0.0228882,0.015831,-9.97986,0.0126648,-0.00270844,0.0172806,0.00823975,0.0182343,-0.0101089,0.0169373,0.00385284
1,6,10.0097,0.00213623,0.000457764,-2.42684,0.0553758,-0.075063,0.054128,0.0709703,-0.0946723,0.144708,-0.125766,-0.085317,0.00774384,0.0266266,0.0207138,0.0149536,0.0196838,0.00911713,0.0199127,0.0125504,-9.97986,0.0165558,-0.00423431,0.0123978,0.00602722,0.0171661,-0.0121689,0.0148773,0.00457764
1,7,10.0097,-0.000305176,0.000762939,-2.42562,0.0553758,-0.0744527,0.0532125,0.072191,-0.0928413,0.144708,-0.124546,-0.0837911,0.0114441,0.0308609,0.0224686,0.00808716,0.015564,0.01194,0.0239563,0.013237,-9.97986,0.017662,-0.00217438,0.0134659,0.0094223,0.0160599,-0.0114441,0.0156403,0.0044632
1,8,10.0097,0.000610352,-0.000152588,-2.4247,0.0559862,-0.0741475,0.0547383,0.0734117,-0.0919257,0.146539,-0.12363,-0.0822652,0.00900269,0.0307465,0.0172043,0.0157928,0.0157547,0.00801086,0.0174332,0.016098,-9.97986,0.0164032,-0.00579834,0.0160217,0.010376,0.0186157,-0.00553131,0.0169373,0.00484467
1,9,10.0097,0.00183105,0.000457764,-2.42531,0.0569017,-0.0753682,0.0547383,0.0718859,-0.090705,0.146539,-0.124851,-0.0813497,0.00980377,0.0280762,0.0246811,0.00968933,0.0164413,0.00854492,0.0185013,0.0175476,-9.97986,0.0154495,0.000190735,0.0102997,0.00816345,0.017395,-0.00400543,0.0159454,0.00305176
2,0,10.0097,0.00213623,-0.00152588,-2.42653,0.0553758,-0.0747579,0.0522969,0.0361803,-0.0980293,0.146234,-0.127292,-0.0834859,0.00976563,0.0285339,0.0258255,0.00610352,0.0171661,0.0121689,0.0223541,0.0213242,-9.97986,0.0119781,0.000419617,0.0116348,0.00934601,0.0152588,-0.000190735,0.0152969,0.00576019
2,1,6.06282,0.00305176,-0.00274658,-2.42745,0.0553758,-0.0747579,0.0516866,-0.00349256,-0.0998603,0.146234,-0.130039,-0.0837911,0.0101471,0.0257874,0.0271606,0.0130081,0.0190735,0.00801086,0.023613,0.0183868,-9.97986,0.0151062,-0.00228882,0.016098,0.00556946,0.0200272,0.00286102,0.0184631,0.00656128
2,2,-2.71861,0,-0.00396729,-2.42562,0.0565965,-0.0738423,0.0538228,-0.0120375,-0.0961982,0.146539,-0.129429,-0.0816549,0.0120926,0.0256348,0.0244141,0.010643,0.0164032,0.011673,0.0193405,0.0164032,-9.97986,0.0175476,-0.00305176,0.0107574,0.00976563,0.0167465,0.00377655,0.0144958,0.00343323
2,3,-9.99003,-0.000915527,-0.00396729,-2.42501,0.0565965,-0.073232,0.0532125,-0.0153944,-0.0949775,0.147455,-0.130039,-0.0822652,0.0124359,0.0268936,0.0201035,0.0102997,0.0169373,0.00759125,0.019455,0.0180054,-9.97986,0.0141525,-0.0030899,0.0115204,0.00785828,0.0173187,0.00125885,0.0136566,0.00923157
2,4,-9.99003,-0.000610352,-0.00228882,-2.4244,0.0569017,-0.0738423,0.0565694,0.0309923,-0.0900947,0.147149,-0.127598,-0.080129,0.0138092,0.0243378,0.0243378,0.00846863,0.0172424,0.0117111,0.0218582,0.0195694,-9.97986,0.016098,0.00240326,0.0146103,0.010376,-0.00770569,-0.000839233,0.0137711,0.00576019
2,5,-9.99003,0,-0.000610352,-2.42592,0.0544603,-0.0738423,0.0547383,0.0541857,-0.0897895,0.146234,-0.126072,-0.0819601,0.00717163,0.0253677,0.0228882,0.0125122,0.0178146,0.0122833,0.0180817,0.0222778,-9.97986,0.0154114,-0.000114441,0.0167084,0.00740051,-0.00507355,-0.00282288,0.018425,0.00797272
2,6,-9.99003,0.000610352,-0.000305176,-2.4244,0.0547655,-0.0741475,0.0544332,0.0621202,-0.0919257,0.145318,-0.126072,-0.0825704,0.0137329,0.0223541,0.018959,0.00980377,0.0209045,0.0109482,0.0186539,0.0165939,-9.97986,0.0111389,-0.00282288,0.0144577,0.00926971,-0.00549316,-0.00953674,0.0186157,0.00526428
2,7,-9.99003,0.000610352,-0.000152588,-2.42623,0.0553758,-0.075063,0.054128,0.0688341,-0.0922309,0.143792,-0.125461,-0.0837911,0.0069809,0.0160217,0.0109482,0.013237,0.0125504,0.0107956,0.0234222,0.0136185,-9.97986,0.0139618,-0.00461578,0.0135803,0.00648499,-0.0101852,-0.0101089,0.0154495,0.00617981
2,8,-9.28752,-0.000305176,0.00335693,-2.42592,0.0553758,-0.0747579,0.0568746,0.136278,-0.0846015,0.144708,-0.121494,-0.0825704,0.0109482,0.0140762,0.00583649,0.014267,0.0155258,0.0164795,0.0200272,0.0137711,-9.97986,0.0182343,-0.000991821,0.0154877,0.00644684,0.0223541,-0.00339508,0.0150681,0.00537872
2,9,-1.86656,0.0012207,0.00366211,-2.42562,0.0547655,-0.075063,0.055959,0.150316,-0.0873481,0.144708,-0.121494,-0.0844015,0.0112534,0.0157166,0.00751495,0.0149155,0.0159836,0.013237,0.0232315,0.0168991,-9.97986,0.0124359,-0.00473022,0.0118256,0.00427246,0.0150299,-0.0104523,0.0119019,0.00320435
3,0,5.92916,0.000305176,0.00427246,-2.42714,0.0541551,-0.075063,0.0532125,0.150316,-0.0891792,0.144403,-0.12241,-0.0856222,0.00743866,0.0162888,0.0101089,0.0108719,0.0192261,0.0157166,0.0214386,0.0154114,-9.97986,0.00854492,-0.0030899,0.0161362,0.00644684,0.0198364,-0.00610352,0.0204086,0.00991821
3,1,10.0097,-0.000610352,0.00396729,-2.43172,0.0523241,-0.0768941,0.050771,0.135057,-0.094062,0.142877,-0.12363,-0.0874532,0.0179672,0.0165176,0.014267,0.0119781,0.0182724,0.0138092,0.0234222,0.0203705,-9.97986,0.0165939,-0.000305176,0.0151062,0.00141144,0.0199509,-0.00148773,0.0166702,0.00904083
3,2,10.0097,0.0012207,0.00152588,-2.43172,0.0538499,-0.0765889,0.0501607,0.0926378,-0.0980293,0.142877,-0.126377,-0.0883688,0.0121307,0.0193787,0.0172806,0.00988007,0.020752,0.00831604,0.026741,0.0139999,-9.97986,0.0156403,-0.0030899,0.015564,0.00946045,0.0153351,0.00144958,0.020256,0.00614166
3,3,10.0097,0.00183105,0.000305176,-2.42837,0.0538499,-0.0765889,0.0504659,0.0798204,-0.0961982,0.144403,-0.126987,-0.0865377,0.0110245,0.0227737,0.0157166,0.0112915,0.0202942,0.0111389,0.018158,0.0181961,-9.97986,0.0159454,-0.00205994,0.0152588,0.0112534,0.0214386,-0.00518799,0.0137329,0.00846863
3,4,10.0097,0.00152588,-0.000152588,-2.42776,0.0535448,-0.0759786,0.0526021,0.0740221,-0.0934516,0.145013,-0.126682,-0.0868429,0.0120163,0.0215149,0.0160599,0.0113678,0.0179291,0.00812531,0.0209808,0.0164795,-9.97986,0.0126648,-0.00217438,0.0166702,0.00621796,0.0196838,-0.0019455,0.0186539,0.00595093
3,5,10.0097,0.000915527,-0.000152588,-2.42806,0.0538499,-0.0759786,0.0544332,0.0715807,-0.0946723,0.144708,-0.125461,-0.0847066,0.0133133,0.0252533,0.0173187,0.0147629,0.0177002,0.0134659,0.0231171,0.0143051,-9.97986,0.0121689,-0.0044632,0.0136185,0.00537872,0.0185013,0.000534058,0.0204849,0.00713348
3,6,10.0097,-0.000610352,-0.000305176,-2.42806,0.0544603,-0.0753682,0.0538228,0.0724962,-0.0943672,0.145318,-0.126072,-0.0850118,0.0149536,0.0259018,0.022049,0.0132751,0.0154877,0.0143433,0.0231934,0.0158691,-9.97986,0.0164413,-0.00419617,0.0107574,0.00488281,0.0199509,0.00522614,0.0149918,0.00598907
